Time, Perror, Wtx, Tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, msg ,tent., erro e, erro r, tout, erro e total, reenvios, Tout total;
0, 0.4, 1, 1, 0, 1, 0, 0, 1, 1, 2, 1, 0, 2, 2, 5, 3, 1, 5, 3, 4, 1, 2, 4, 4, 3, 1, 1, 3, 5, 5, 3, 1, 5, 6, 2, 1, 0, 2, 7, 4, 2, 1, 4, 8, 1, 0, 0, 1, 9, 2, 1, 0, 2, 10, 3, 0, 2, 3, 11, 4, 2, 1, 4, 12, 2, 1, 0, 2, 13, 5, 2, 2, 5, 14, 4, 2, 1, 4, 15, 4, 2, 1, 4, 16, 1, 0, 0, 1, 17, 2, 1, 0, 2, 18, 5, 1, 3, 5, 19, 3, 1, 1, 3, 25, 42, 42;
42, 0.4, 2, 1, 1, 3, 1, 1, 3, 0, 4, 1, 2, 4, 3, 3, 1, 1, 3, 4, 2, 1, 0, 2, 5, 1, 0, 0, 1, 2, 7, 4, 2, 7, 7, 5, 3, 1, 5, 6, 7, 5, 1, 7, 9, 1, 0, 0, 1, 8, 2, 1, 0, 2, 11, 4, 2, 1, 4, 10, 5, 3, 1, 5, 12, 1, 0, 0, 1, 13, 2, 1, 0, 2, 15, 2, 1, 0, 2, 16, 1, 0, 0, 1, 14, 6, 3, 2, 6, 18, 1, 0, 0, 1, 19, 1, 0, 0, 1, 17, 6, 4, 1, 6, 31, 44, 44;
65, 0.4, 1, 2, 0, 1, 0, 0, 1, 1, 2, 1, 0, 2, 2, 2, 1, 0, 2, 3, 1, 0, 0, 1, 4, 5, 0, 4, 5, 5, 8, 3, 4, 8, 6, 6, 4, 1, 6, 7, 7, 3, 3, 7, 8, 2, 0, 1, 2, 9, 1, 0, 0, 1, 10, 1, 0, 0, 1, 11, 3, 2, 0, 3, 12, 4, 3, 0, 4, 13, 1, 0, 0, 1, 14, 3, 2, 0, 3, 15, 1, 0, 0, 1, 16, 2, 1, 0, 2, 17, 2, 1, 0, 2, 18, 6, 2, 3, 6, 19, 1, 0, 0, 1, 23, 39, 39;
143, 0.4, 2, 2, 0, 1, 0, 0, 1, 2, 1, 0, 0, 1, 3, 2, 1, 0, 2, 1, 3, 1, 1, 3, 4, 3, 1, 1, 3, 6, 1, 0, 0, 1, 7, 1, 0, 0, 1, 8, 1, 0, 0, 1, 5, 4, 1, 2, 4, 9, 9, 4, 4, 9, 11, 2, 0, 1, 2, 10, 15, 5, 9, 15, 12, 9, 6, 2, 9, 14, 4, 1, 2, 4, 15, 1, 0, 0, 1, 16, 1, 0, 0, 1, 17, 1, 0, 0, 1, 18, 2, 1, 0, 2, 19, 7, 1, 5, 7, 13, 13, 7, 5, 13, 29, 61, 61;
205, 0.5, 1, 1, 0, 1, 0, 0, 1, 1, 3, 1, 1, 3, 2, 2, 0, 1, 2, 3, 1, 0, 0, 1, 4, 3, 2, 0, 3, 5, 6, 2, 3, 6, 6, 7, 6, 0, 7, 7, 4, 3, 0, 4, 8, 3, 1, 1, 3, 9, 1, 0, 0, 1, 10, 1, 0, 0, 1, 11, 7, 2, 4, 7, 12, 12, 9, 2, 12, 13, 2, 0, 1, 2, 14, 1, 0, 0, 1, 15, 6, 5, 0, 6, 16, 2, 1, 0, 2, 17, 2, 0, 1, 2, 18, 3, 2, 0, 3, 19, 3, 2, 0, 3, 36, 50, 50;
256, 0.5, 2, 1, 1, 1, 0, 0, 1, 0, 4, 3, 0, 4, 2, 6, 3, 2, 6, 4, 1, 0, 0, 1, 3, 7, 4, 2, 7, 5, 5, 4, 0, 5, 7, 2, 1, 0, 2, 8, 2, 1, 0, 2, 9, 1, 0, 0, 1, 10, 1, 0, 0, 1, 6, 4, 2, 1, 4, 11, 2, 1, 0, 2, 12, 2, 1, 0, 2, 14, 1, 0, 0, 1, 13, 4, 2, 1, 4, 15, 4, 2, 1, 4, 16, 2, 1, 0, 2, 18, 5, 3, 1, 5, 19, 1, 0, 0, 1, 17, 16, 11, 4, 16, 39, 51, 51;
287; 
