582;NetNation Communications Inc.;2;
789;XMission;3;
923;UCAID;1;
931;NERO Network;3;
1040;Zillow Group;2;
1118;Applied Operations;1;
1174;NoaNet;3;
1176;Threshold Communications 1;3;
1191;Cortland Communications;1;
1208;Cutting Edge Communications;1;
1216;Metapeer, Inc.;1;
1217;TierPoint Seattle;1;
1222;BendTel;3;
1426;Alaska Communications Systems Group, Inc.;2;
1454;Northwest Nexus;1;
1511;CSS Communications;1;
1528;GTA/Teleguam Holdings, LLC;3;
1560;Pocketinet Communications, Inc.;1;
1587;Wowrack.com;2;
1663;TeraGo Networks Inc.;2;
1689;Noel Communications, Inc.;3;
1719;Marchex, Inc;1;
1722;King County I-NET;2;
26;Stealth Communications;3;
371;Webair;3;
585;Elisa Corporation;22;
629;TWDX IP;4;
702;Enter;11;
719;hSo Group;12;
837;Six Degrees - Datahop (6DG);9;
1006;Duodecad IT Services;13;
1089;ISPnet, Inc.;5;
1091;Access Integrated Technologies (Ezzi.net);1;
1599;Core-Backbone;22;
25;MCI - MAE.net;1;
14;GTT Communications (AS3257);6;
308;China Telecom;4;
423;DENIC eG, AS31529;14;
885;Florida LambdaRail LLC;4;
906;CacheFly;9;
926;AMPATH;2;
1133;Easy Online Solutions, Ltd.;4;
1185;Columbus Networks;4;
1190;Scarlet Curacao;3;
1242;TELECOM ARGENTINA;1;
1253;Diveo;2;
1486;RIPE NCC K-Root Operations;9;
1495;ANTEL;5;
1544;ICE (Costa Rica);1;
1645;SMITCOMS;3;
17;BBC;9;
29;Bouygues Telecom ISP;7;
93;RM Education plc;5;
99;NetCologne;9;
100;Zen Internet;5;
108;Timico Limited;2;
110;RCS & RDS;4;
116;Claranet;15;
121;Sunrise Communications AG;10;
126;euNetworks Group;15;
134;Datanet;2;
139;Burstfire Networks Ltd;4;
149;BSE Software GmbH;6;
155;Entanet International Ltd;9;
179;Internet Solutions, South Africa;10;
181;Orbital Net Ltd;3;
200;Waycom (EMEA);8;
201;Onyx Internet;5;
206;Gyron Internet Ltd;4;
212;VTX Services SA;5;
215;Cyberlink;6;
238;Bogons;4;
254;scanplus GmbH;4;
268;BIT BV;6;
281;BTnet (BT's UK IP Network - AS2856);7;
292;Secura Hosting Ltd;2;
301;Deutsche Telekom / ex GTS Central Europe;11;
327;EWETel;6;
341;Verizon Business - EMEA;24;
399;Paratus Telecom;8;
458;Telenor (Norway/Sweden);16;
475;OTEGlobe;3;
495;Orange;6;
500;Eaton Kaye Ltd;1;
505;Nerim;6;
507;Multiplay (UK) Ltd [GB];2;
513;Sungard Availability Services;3;
524;Exa Networks Limited;5;
569;Simply Transit Ltd;4;
572;MANDA;4;
577;Sprint;7;
580;NetConnex;3;
596;EDPNET;6;
601;M247 Ltd;36;
607;Clouditalia Telecomunicazioni;7;
613;Kcom SPN;4;
662;Bahnhof;17;
670;AT&T EMEA - AS2686;16;
680;Catalyst2 Services Ltd;2;
684;1&1 Versatel Deutschland GmbH;6;
710;Public Internet Ltd;4;
716;Wildcard Networks;2;
725;Liquid Telecommunications;15;
731;Jaguar Network SAS;15;
733;Neuronnexion;10;
821;Open Peering;24;
835;Global Radio;2;
855;Bayan Telecommunications Inc.;6;
857;MTN South Africa;12;
875;C2 Internet;3;
877;Extraordinary Managed Services;2;
883;PoBox Hosting Ltd;1;
911;Freethought Internet Limited;4;
933;Pulsant;1;
950;eircom Ltd;7;
961;Janet;4;
967;Magnet Networks;4;
972;Blacknight Internet Solutions Ltd;7;
976;iomart;4;
986;IT.Gate;9;
1008;UK Broadband;3;
1014;Bezeq International;12;
1032;Thus PLC;3;
1066;CITIC Telecom CPC Netherlands B.V.;17;
1081;Link11 GmbH;7;
1101;FidoNet;4;
1108;IDNet;9;
1112;Associated Networks (UK) Ltd;4;
1113;Kingston Communications PLC;5;
1162;Inclarity;1;
1163;Kantonsschule Zug;8;
1164;Cablecom Networking;6;
1171;Bhutan Telecom Ltd;3;
1192;Manx Telecom Ltd;4;
1221;Symantec (EMEA);17;
1236;Viatel Ltd;8;
1252;GlobalConnect a/s;5;
1266;Bytemark Limited;4;
1270;UK2Group;4;
1280;Host Europe GmbH;6;
1282;Equinix Connect - EMEA;27;
1284;Qube Managed Services Limited;2;
1297;GCI Com;5;
1298;ioko;2;
1299;Domicilium (IoM) Limited;3;
1304;Fastweb;7;
1309;Sargasso Networks Ltd. (UK);4;
1311;Simwood eSMS Limited;4;
1314;Siminn;5;
1352;Coreix Limited;2;
1381;Spitfire Network Services Ltd;2;
1412;Virgin Media;6;
1423;Global Network Managment Ltd;12;
1429;Dreamscape Networks;12;
1446;O2 Broadband;8;
1452;IP-Max SA;19;
1510;Wi-Manx Limited;4;
1518;Mythic Beasts Ltd;5;
1535;brightsolid;3;
1540;IDE Group;3;
1545;LinzNet ISP GmbH;4;
1547;Extreme Broadband;8;
1651;PIN;12;
1682;Telekom Romania Communications S.A.;6;
1683;COMCOR;9;
1695;KDDI Europe Ltd.;3;
1706;UbuntuNET Alliance;3;
1718;Atlas Communications (NI) Ltd.;2;
1723;Node4 Ltd;2;
493;PIPE Networks;6;
671;AT&T AP - AS2687;10;
1049;45RU HostAway;1;
1434;Fast Hit Pty Ltd;1;
1435;Aussie Broadband;10;
497;GreatAccess.com;1;
724;One Ring Networks;1;
1345;Emory University;1;
558;American Internet Services, LLC;3;
730;China Unicom;2;
934;Los Nettos;8;
153;Cogeco Peer1 Toronto;2;
166;Convoke Communications Corp;1;
169;EGate Networks Inc.;1;
172;ILAP - Internet Light and Power;1;
185;Advanced Knowledge Networks;1;
312;The Higher Technology (THT.net);1;
318;Hydro One Telecom;3;
357;PriorityColo Inc.;1;
672;AT&T Canada - AS2685;1;
746;Galaxy Multimedia PLC;1;
1132;Neutral Data;4;
1374;Source Cable Ltd.;1;
1396;TekSavvy Solutions Inc.;7;
1710;Cogeco Cable Canada Inc;1;
1744;SIGNAL TELECOM;1;
16;XS4ALL Internet B.V.;5;
183;True B.V.;1;
186;Quickline AG;4;
208;SIG Telecom;6;
218;nexellent ag;5;
219;Telecom Liechtenstein AG;4;
240;SWITCH;4;
258;TNG Stadtnetz GmbH;14;
263;Titan Networks GmbH;2;
270;DENIC eG;2;
316;SdV;5;
319;Vodafone Germany;8;
345;KWAOO, K-NET;5;
348;Denit Internet Services B.V.;2;
360;DOTRO Telecom;6;
439;ZeelandNet;2;
446;Luna.nl B.V.;3;
499;Hivane;14;
532;Frontier Online;2;
535;Availo Networks / Port80;1;
550;Cambrium BV.;3;
568;Unilogic Networks B.V.;2;
584;IP2 Internet B.V.;2;
614;iunxi BV;2;
660;CESNET;3;
681;iway AG;3;
700;Base IP B.V.;2;
709;Nianet A/S;8;
711;NTS Workspace AG;2;
737;Association Gitoyen;8;
